,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
0,Guarulhos - Governador André Franco Montoro International Airport,large_airport,-23.431944,-46.467778,2461.0,São Paulo,São Paulo,POINT (4614202.305861472 7334259.93034244)
1,Rio Galeão – Tom Jobim International Airport,large_airport,-22.809999,-43.250557,28.0,Rio de Janeiro,Rio De Janeiro,POINT (4972124.999682717 7409069.809796454)
2,Congonhas Airport,medium_airport,-23.627657,-46.654601,2631.0,São Paulo,São Paulo,POINT (4593417.848894492 7310645.616864061)
3,Santos Dumont Airport,medium_airport,-22.9105,-43.163101,11.0,Rio de Janeiro,Rio de Janeiro,POINT (4981854.66609694 7397004.833060657)
4,Presidente Juscelino Kubitschek International Airport,large_airport,-15.869167,-47.920834,3497.0,Distrito Federal,Brasília,POINT (4452546.728643394 8223176.557570638)
5,Deputado Luiz Eduardo Magalhães International Airport,large_airport,-12.908611,-38.322498,64.0,Bahia,Salvador,POINT (5520382.067689556 8561117.559991674)
6,Salgado Filho International Airport,medium_airport,-29.994712,-51.166592,11.0,Rio Grande do Sul,Porto Alegre,POINT (4091449.23274496 6520593.859808665)
7,Recife/Guararapes - Gilberto Freyre International Airport,medium_airport,-8.125984,-34.923316,33.0,Pernambuco,Recife,POINT (5898548.310614331 9098952.89377058)
8,Cataratas International Airport,medium_airport,-25.594167,-54.489444,786.0,Paraná,Foz do Iguaçu,POINT (3721774.8650191156 7071323.040164068)
9,Viracopos International Airport,medium_airport,-23.007404,-47.134502,2170.0,São Paulo,Campinas,POINT (4540027.839725862 7385363.101530932)
10,Tancredo Neves International Airport,large_airport,-19.63571,-43.966928,2721.0,Minas Gerais,Belo Horizonte,POINT (4892427.198973527 7785766.983588841)
11,Eduardo Gomes International Airport,large_airport,-3.03861,-60.049702,264.0,Amazonas,Manaus,POINT (3103184.3107173964 9664051.583879983)
12,Afonso Pena Airport,medium_airport,-25.5285,-49.1758,2988.0,Paraná,Curitiba,POINT (4312929.086158133 7079377.081416335)
13,Pinto Martins International Airport,medium_airport,-3.77628,-38.5326,82.0,Ceará,Fortaleza,POINT (5497007.772352919 9582386.737493273)
